NUM,NAME,MAGICIAN,CATEGORY
291,Hot Shots with Rubberbands,Ben Salinas,RUBBERBANDS
292,Torn and Restored Newspaper,Magic Makers,PAPER
293,Misleading mislead,Eric James,BILLS
294,Sh4de,Daniel Garcia,COINS
295,Underground Magic,Penguin magic,MISC
296,Complete Card Magic,Gerry Griffin,CARDS
297,Mental Miracles,Meir Yedid,MISC
298,The Ultimate coin in Balloon,Michael Bairefoot,COINS
299,The Rice Papers,Homer Liwag,MISC
300,Gypsy Thread,Dan Sperry,THREAD
301,"Easy to Master Card Miracles vol 3, 9",Michael Ammar,CARDS
302,Biokinesis,Berk Eratay,MENTALISM
303,Abracadazzle,Jeff mcbride,PERFORMANCE
304,Fingers of Fury - Vol 1,Alan Rorrison,MISC
305,Crazy for Cards,Aldo Colombini,CARDS
306,Fingers of Fury - Vol 2,Alan Rorrison,MISC
307,Visceral,Derek Roberts,BILLS
308,Canfuse,Eric Ross,STREET MAGIC
309,Dress Code,Calen Morelli,MISC
310,Fire in the Hole,Huran Low,CARDS
311,Infinity Bend,Eric Ross,COINS
312,Laws of Attraction,Shoot Ogawa,MISC
313,On the Loose Vol 1 to 4,Bill Malone,MISC
314,Instant Everything,Nathan Kranzo,MISC
315,Glitch,Smith,MISC
316,Approaching Magic,David Regal,CARDS
317,Neck Tie Coin Routine,Johny Wong,COINS
318,Function 9,Calen Morelli,MISC
319,Ring in Walnut,John Shyrock,STREET MAGIC
320,50 Ways to rock a lighter,MISC,MISC
321,Dangerous Mystique,Daniel Madison,MISC
322,Freaky Body Illusions,Marvins Magic,ILLUSIONS
323,Levitator,Andrew Mayne,ILLUSIONS
324,Ultimate back flip,Jeremy Pei,CARDS
325,Lessons in Magic  Vol 1 to 3,Juan Tamariz,MISC
326,Shoot in USA,Shoot Ogawa,MISC
327,Steel and Silver - Vol 1 & 2,Paul Gertner,MISC
328,Magic for the eyes,Luke Dancy - David Regal,CARDS
329,Freedom Pack,Justin Miller,CARDS
330,Linking Hearts,MISC,MISC
331,Perfection,Oz Pearlman,CARDS
332,21st Century Phantom,Oz Pearlman,MISC
333,Roped in,Aldo Colombini,ROPE
334,The Biddle Trick,Jonathan Bayme,CARDS
335,The Lean,Doug Malloy,ILLUSIONS
336,Dancing Cane Lessons,Juan Miraz,ILLUSIONS
337,Expert at the Card Table - Vol 1 to 7,Wesley James,CARDS
338,Here I go again Vol 1 to 4,Bill Malone,CARDS
339,Card College Vol 1 & 2,Roberto Giobbi,CARDS
340,Alchemy,Ben Seidman,COINS
341,Malone meets Marlo Vol 1 to 6,Bill Malone,MISC
342,Rizer,Eric Ross,CARDS
343,HyperCards,Andrew Mayne,CARDS
344,Innovative Card Magic,Mariano Goni,CARDS
345,20 Effects with Raven,Penguin magic,COINS
346,School of HardKnocks,Rodney Reyes,CARDS
347,Smart Ass,Bill Abbott,CARDS
348,Write Angle,Jesse Feinberg,ILLUSIONS
349,The Thing,Bill Abbott,ILLUSIONS
350,Laced,Dan Hauss,CARDS
351,Inversion,Andrew Mayne,MISC
352,Card and Dice Deceptions  Vol 1 & 2,Aldo Colombini,DICE
353,World's Greatest Magic - Money,L & L,BILLS
354,Cataclysm,Brian Caswell,CARDS
355,Consignment,"James Howells and Wizard FXProductions",MENTALISM
356,Technical Dove Tosses,Dan Sperry,DOVE
357,In and Out Rope Escapes,Tony Clark,ILLUSIONS
358,Magic Cap,Jesse Feinberg,STREET MAGIC
359,Through the Ranks,Chris Webb,CARDS
360,Prohibition,Charlie Justice,STREET MAGIC
361,Curve Ball,Oz Pearlman,MOBILE
362,5 Effects,David Forrest,CARDS
363,Lit,Dan Hauss,STREET MAGIC
364,Sweet,Chriss Randal,MISC
365,Digital Dissolve,Theory 11,COINS
366,Wedding,Bruno Copin,ILLUSIONS
367,ReinCARDnation,Chris Nevling,CARDS
368,Trifecta,Homer Liwag,COINS
369,Bar Magic,A1 Media,MISC
370,One for my Performance,MISC,CARDS
371,Chosen card at any number,Ben Seidman,CARDS
372,Standing Room Only,Aldo Colombini,MISC
373,KAOS- Card thru Windows,Daniel Garcia,CARDS
374,Bluff,MISC,CARDS
375,Close up Card Magic,Mathieu Bich,CARDS
376,Tornado Spoon,Kikuchi Magic,ILLUSIONS
377,Wow,Masuda,CARDS
378,Professional Bare handed Coin magic,Kirk Kokinos,COINS
379,Impossibilia,John Bannon,CARDS
380,Pyro Penetrator,Penguin magic,ILLUSIONS
381,Spread Control,Spencer Peterson,CARDS
382,P1,Eric Ross,MISC
383,Burning up,Nathan Kranzo,Coins
384,Visual Voodoo,Nathan Kranzo,MISC
385,True Astonishment - 1,Paul Harris,MISC
386,Thoughts on Cards,Larry Jennings,CARDS
387,Redline,Dan Hauss,STREET MAGIC
388,Card Warp Finale,Paul Green,CARDS
389,Harada Hold,Daiki Harada,COINS
390,Shinobi Control,Emran Riaz,CARDS
391,Spin,Matt Sconce,MENTALISM
392,Encased,David Forrest,CARDS
393,Army of 52,Justin Miller,CARDS
394,Card to Mouth,Dan White,CARDS
395,Acrobatics of Cigarretes,China,CIGARETTE
396,Verstaile Card Magic,Earl Nelson,CARDS
397,Clench,Calen Morelli,CARDS
398,Ultimate Impromptu Magic - Vol 1 to 3,Dan Harlan,MISC
399,Gum,Jeff Prace,STREET MAGIC
400,World's Greatest Magic - Card Warp,L & L,CARDS
401,Show Off with CDs,Eddy Ray,CONJURING
402,Remote Viewing,Luke Jermay,MENTALISM
403,Cartier,Dan & Dave,CARDS
404,Rise & Shine,Dan Hauss,CARDS
405,40 ways to force a card,MISC,CARDS
406,Expert Sleeving Made Easy,Carl Cloutier,MISC
407,The Heckler,Brian Tudar,CARDS
408,The Ring Thing,Garret Thomas,CLOSEUP
409,Cell Block,Robert Smith,CARDS
410,Fujiwara Gimmick,Fujiwara,TT
411,Musical Chairs,Jay Leslie,MENTALISM
412,Warning,Kostya,STREET MAGIC
413,Escalator,Gaetan Bloom,CARDS
414,Intuition,Honda,MENTALISM
415,Sandz,Jay Mattioli,ILLUSIONS
416,Visu Antics,Jim Pace,MISC
417,Monumental,Peter Duffie,CARDS
418,Expert Cigarette Magic made easy,Tom Mullica,CIGARETTE
419,Linking Cigarette,Akira Fuji,CIGARETTE
420,Gagbuster,Aldo Colombini,MISC
421,Packet Killer - Vol 1 & 2,Simon Lovell,CARDS
422,Nexus,Kevin Parker,STREET MAGIC
423,Deception,Derek Dingle,MISC
424,Penn & Teller - Fool us,MISC,PERFORMANCE
425,Easy sleight of hand card magic,Verne McCarthy,CARDS
426,Hampton Falls,Tony Chris,MENTALISM
427,Killer cut,John Kaplan,ILLUSIONS
428,LJCP,Luke Jermay,MENTALISM
429,Green Magic Vol 1 to 7,Lennart Green,MISC
430,Stealing the Show,James Freedman,MISC
431,Blank Night,John Archer,MENTALISM
432,Butter Coin,Alex Lourido,COINS
433,Hole Thing,Chris Mayhew,CARDS
434,DodeckaDeal,John Archer,CARDS
435,Koran's Medallion,Luke Jermay,MENTALISM
436,Road Killers,Richard Sanders,MISC
437,The Prize winning magic,Jean Pierre Vallarino,MISC
438,Pixel,David Jade,CARDS
439,Flips magical rope,Flips,ROPE
440,Extractor,Rob Bromley,CARDS
441,Controls,Jean Pierre Vallarino,CARDS
442,Joz,Alejandro Portelo,CARDS
443,Mental Miracles,Bob Cassidy,MENTALISM
444,One Card Link,El Duco,CARDS
445,Zoom Bounce and Fly,Jeff mcbride,CARDS
446,Multiplying Balls,Tim Wright,MISC
447,M5 System tactics & training vol 1 and 2,Justin Miller,MISC
448,Fibre Optics,Richard Sanders,ROPE
449,Powerful Impromptu Card Magic,Paul Gordon,CARDS
450,The Hawk,Alexander Koelle,CARDS
451,Smile,Justin Miller,CARDS
452,Professional Opportunist-Vol-1 & 2,James Brown,MISC
453,Basic Card Technique,Richard Kaufman,CARDS
454,Ultra Cervon,Bruce Cervon,MISC
455,Coin Two,Homer Liwag,COINS
456,Ringing Around Too,Aldo Colombini,ROPE
457,The Invisible palm,Wayne Houchin,CARDS
